Class	Band1	Band2	Band3	Band4	Band5	Band6	Band7	Band8	Band9	Band10	Band11	Band12
"clover"	6.399990	5.899990	3.399990	5.100010	8.800000	6.200000	4.500000	13.300000	13.200000	7.500000	-44.100000	-22.800000
"clover"	7.399990	5.899990	5.399990	5.100010	9.800000	4.200000	5.500000	13.300000	12.200000	9.500000	-28.100000	-22.800000
"clover"	7.399990	4.899990	3.399990	5.100010	8.800000	6.200000	5.500000	14.300000	14.200000	7.500000	-39.100000	-21.800000
"clover"	5.399990	3.899990	2.399990	4.100010	3.800000	3.200000	4.500000	10.300000	11.200000	5.500000	-34.100000	-18.800000
"clover"	6.399990	3.899990	5.399990	5.100010	9.800000	5.200000	6.500000	15.300000	12.200000	8.500000	-35.100000	-26.800000
"clover"	5.399990	3.899990	5.399990	4.100010	6.800000	3.200000	4.500000	12.300000	13.200000	7.500000	-26.100000	-18.800000
"clover"	6.399990	5.899990	5.399990	6.100010	8.800000	5.200000	5.500000	13.300000	13.200000	5.500000	-24.100000	-30.800000
"clover"	5.399990	3.899990	3.399990	4.100010	8.800000	3.200000	3.500000	13.300000	12.200000	2.500000	-42.100000	-29.800000
"clover"	4.399990	5.899990	4.399990	5.100010	8.800000	4.200000	4.500000	14.300000	14.200000	6.500000	-41.100000	-27.800000
"clover"	4.399990	5.899990	3.399990	5.100010	7.800000	6.200000	5.500000	14.300000	14.200000	4.500000	-55.100000	-24.800000
"clover"	5.399990	5.899990	3.399990	4.100010	8.800000	5.200000	5.500000	15.300000	16.200000	5.500000	-42.100000	-22.800000
"clover"	5.399990	3.899990	4.399990	4.100010	9.800000	2.200000	3.500000	15.300000	16.200000	4.500000	-55.100000	-35.800000
"clover"	4.399990	6.899990	4.399990	5.100010	8.800000	2.200000	3.500000	13.300000	14.200000	3.500000	-46.100000	-35.800000
"clover"	5.399990	4.899990	4.399990	6.100010	7.800000	3.200000	3.500000	13.300000	15.200000	4.500000	-48.100000	-33.800000
"clover"	6.399990	4.899990	7.399990	7.100010	9.800000	4.200000	6.500000	15.300000	16.200000	3.500000	-46.100000	-26.800000
"clover"	5.399990	4.899990	4.399990	6.100010	8.800000	5.200000	6.500000	16.300000	14.200000	6.500000	-58.100000	-29.800000
"clover"	6.399990	4.899990	3.399990	5.100010	8.800000	4.200000	4.500000	13.300000	13.200000	6.500000	-36.100000	-29.800000
"clover"	6.399990	6.899990	4.399990	5.100010	9.800000	6.200000	5.500000	13.300000	13.200000	6.500000	-41.100000	-21.800000
"clover"	7.399990	4.899990	6.399990	5.100010	8.800000	3.200000	4.500000	15.300000	15.200000	2.500000	-51.100000	-28.800000
"clover"	5.399990	3.899990	5.399990	6.100010	7.800000	5.200000	4.500000	13.300000	12.200000	8.500000	-21.100000	-18.800000
"clover"	5.399990	6.899990	4.399990	7.100010	9.800000	4.200000	4.500000	13.300000	14.200000	7.500000	-32.100000	-24.800000
"clover"	5.399990	5.899990	4.399990	6.100010	8.800000	3.200000	3.500000	12.300000	12.200000	5.500000	-20.100000	-21.800000
"clover"	7.399990	4.899990	5.399990	5.100010	7.800000	4.200000	4.500000	14.300000	14.200000	6.500000	-35.100000	-22.800000
"clover"	6.399990	5.899990	3.399990	5.100010	6.800000	2.200000	4.500000	11.300000	12.200000	5.500000	-24.100000	-19.800000
"clover"	5.399990	5.899990	2.399990	6.100010	9.800000	2.200000	5.500000	15.300000	13.200000	6.500000	-38.100000	-24.800000
"clover"	6.399990	6.899990	3.399990	6.100010	8.800000	4.200000	5.500000	14.300000	16.200000	6.500000	-36.100000	-24.800000
"clover"	4.399990	7.899990	4.399990	5.100010	9.800000	3.200000	3.500000	13.300000	14.200000	4.500000	-41.100000	-21.800000
"clover"	4.399990	5.899990	4.399990	5.100010	10.800000	4.200000	6.500000	14.300000	15.200000	7.500000	-35.100000	-30.800000
"clover"	7.399990	6.899990	5.399990	7.100010	13.800000	5.200000	4.500000	14.300000	17.200000	10.500000	-32.100000	-25.800000
"clover"	6.399990	2.899990	3.399990	4.100010	7.800000	4.200000	5.500000	15.300000	13.200000	7.500000	-35.100000	-24.800000
"clover"	4.399990	4.899990	2.399990	6.100010	9.800000	4.200000	2.500000	16.300000	12.200000	8.500000	-36.100000	-22.800000
"clover"	6.399990	2.899990	3.399990	4.100010	7.800000	5.200000	5.500000	13.300000	13.200000	6.500000	-26.100000	-16.800000
"clover"	6.399990	3.899990	3.399990	6.100010	8.800000	5.200000	4.500000	14.300000	13.200000	7.500000	-36.100000	-20.800000
"clover"	5.399990	6.899990	4.399990	7.100010	10.800000	5.200000	6.500000	17.300000	17.200000	10.500000	-37.100000	-20.800000
"clover"	6.399990	4.899990	4.399990	6.100010	11.800000	4.200000	5.500000	17.300000	15.200000	10.500000	-38.100000	-22.800000
"clover"	4.399990	4.899990	5.399990	7.100010	8.800000	2.200000	5.500000	18.300000	15.200000	7.500000	-37.100000	-25.800000
"clover"	7.399990	4.899990	5.399990	6.100010	9.800000	5.200000	6.500000	15.300000	17.200000	8.500000	-38.100000	-25.800000
"clover"	6.399990	5.899990	3.399990	5.100010	9.800000	4.200000	4.500000	15.300000	17.200000	8.500000	-44.100000	-25.800000
"clover"	7.399990	4.899990	5.399990	5.100010	10.800000	4.200000	3.500000	15.300000	16.200000	6.500000	-34.100000	-21.800000
"clover"	6.399990	5.899990	4.399990	6.100010	10.800000	4.200000	4.500000	16.300000	16.200000	8.500000	-47.100000	-32.800000
"clover"	6.399990	6.899990	4.399990	6.100010	10.800000	4.200000	6.500000	17.300000	15.200000	8.500000	-38.100000	-23.800000
"clover"	5.399990	6.899990	5.399990	5.100010	8.800000	4.200000	6.500000	15.300000	15.200000	7.500000	-40.100000	-21.800000
"clover"	9.399990	5.899990	6.399990	7.100010	12.800000	5.200000	5.500000	16.300000	17.200000	9.500000	-37.100000	-31.800000
"clover"	7.399990	5.899990	5.399990	6.100010	10.800000	4.200000	4.500000	15.300000	16.200000	9.500000	-41.100000	-27.800000
"rye"	-0.600010	-0.100010	-1.600010	-4.899990	-10.200000	-7.800000	-6.500000	-17.700000	-12.800000	-12.500000	18.900000	10.200000
"rye"	-0.600010	-8.100010	-3.600010	-5.899990	-10.200000	-10.800000	-6.500000	-18.700000	-14.800000	-13.500000	22.900000	12.200000
"rye"	-0.600010	-3.100010	-3.600010	-4.899990	-7.200000	-8.800000	-8.500000	-13.700000	-11.800000	-10.500000	8.899990	4.200000
"rye"	-0.600010	-4.100010	-5.600010	-6.899990	-11.200000	-12.800000	-10.500000	-21.700000	-16.800000	-16.500000	17.900000	10.200000
"rye"	-1.600010	-4.100010	-7.600010	-6.899990	-13.200000	-9.800000	-7.500000	-20.700000	-15.800000	-13.500000	12.900000	13.200000
"rye"	1.399990	-0.100010	-2.600010	-2.899990	-11.200000	-9.800000	-8.500000	-18.700000	-13.800000	-14.500000	8.899990	9.200000
"rye"	-0.600010	-7.100010	-5.600010	-3.899990	-15.200000	-11.800000	-8.500000	-20.700000	-15.800000	-13.500000	18.900000	12.200000
"rye"	-0.600010	-4.100010	-3.600010	-3.899990	-10.200000	-8.800000	-5.500000	-16.700000	-12.800000	-12.500000	24.900000	9.200000
"rye"	-1.600010	-3.100010	-4.600010	-5.899990	-13.200000	-10.800000	-8.500000	-21.700000	-14.800000	-14.500000	12.900000	13.200000
"rye"	-6.600010	-6.100010	-5.600010	-6.899990	-16.200000	-12.800000	-10.500000	-21.700000	-17.800000	-18.500000	15.900000	11.200000
"rye"	-0.600010	-4.100010	-5.600010	-4.899990	-13.200000	-9.800000	-8.500000	-20.700000	-16.800000	-13.500000	18.900000	11.200000
"rye"	-7.600010	-9.100010	-5.600010	-8.899990	-15.200000	-14.800000	-6.500000	-20.700000	-17.800000	-14.500000	22.900000	10.200000
"rye"	-4.600010	-8.100010	-5.600010	-6.899990	-14.200000	-12.800000	-8.500000	-16.700000	-15.800000	-13.500000	20.900000	11.200000
"rye"	-1.600010	-4.100010	-6.600010	-5.899990	-12.200000	-9.800000	-10.500000	-16.700000	-17.800000	-11.500000	17.900000	12.200000
"rye"	-5.600010	-10.100000	-7.600010	-10.900000	-18.200000	-14.800000	-14.500000	-26.700000	-24.800000	-23.500000	15.900000	8.200000
"rye"	-4.600010	-8.100010	-6.600010	-6.899990	-15.200000	-10.800000	-8.500000	-23.700000	-17.800000	-16.500000	20.900000	17.200000
"rye"	0.399994	-4.100010	-2.600010	-5.899990	-14.200000	-11.800000	-7.500000	-18.700000	-19.800000	-13.500000	15.900000	5.200000
"rye"	-4.600010	-10.100000	-5.600010	-8.899990	-17.200000	-15.800000	-10.500000	-25.700000	-23.800000	-19.500000	18.900000	13.200000
"rye"	-0.600010	-5.100010	-5.600010	-6.899990	-12.200000	-10.800000	-7.500000	-19.700000	-17.800000	-12.500000	21.900000	13.200000
"rye"	-1.600010	-6.100010	-6.600010	-6.899990	-16.200000	-11.800000	-11.500000	-22.700000	-22.800000	-20.500000	18.900000	11.200000
"rye"	-5.600010	-11.100000	-8.600010	-9.899990	-18.200000	-13.800000	-12.500000	-26.700000	-24.800000	-22.500000	15.900000	12.200000
"rye"	-1.600010	-5.100010	-5.600010	-4.899990	-12.200000	-9.800000	-10.500000	-20.700000	-16.800000	-14.500000	20.900000	12.200000
"rye"	-4.600010	-8.100010	-4.600010	-5.899990	-14.200000	-11.800000	-8.500000	-19.700000	-19.800000	-18.500000	20.900000	12.200000
"rye"	-1.600010	-9.100010	-3.600010	-5.899990	-13.200000	-9.800000	-7.500000	-20.700000	-19.800000	-17.500000	20.900000	16.200000
"rye"	-0.600010	-1.100010	-3.600010	-3.899990	-10.200000	-7.800000	-10.500000	-17.700000	-15.800000	-12.500000	10.900000	13.200000
"rye"	-1.600010	-6.100010	-5.600010	-6.899990	-13.200000	-12.800000	-11.500000	-23.700000	-21.800000	-17.500000	19.900000	12.200000
"rye"	0.399994	-4.100010	-3.600010	-4.899990	-12.200000	-10.800000	-9.500000	-17.700000	-16.800000	-15.500000	10.900000	12.200000
"rye"	0.399994	-5.100010	-4.600010	-4.899990	-8.200000	-10.800000	-8.500000	-21.700000	-18.800000	-14.500000	16.900000	13.200000
"rye"	0.399994	-3.100010	-3.600010	-3.899990	-11.200000	-7.800000	-6.500000	-16.700000	-14.800000	-9.500000	22.900000	9.200000
"rye"	-1.600010	-4.100010	-4.600010	-5.899990	-7.200000	-10.800000	-9.500000	-21.700000	-17.800000	-14.500000	15.900000	12.200000
"rye"	0.399994	-2.100010	-3.600010	-3.899990	-10.200000	-9.800000	-8.500000	-17.700000	-13.800000	-13.500000	14.900000	11.200000
"rye"	0.399994	-0.100010	-3.600010	-2.899990	-11.200000	-5.800000	-7.500000	-15.700000	-11.800000	-11.500000	13.900000	12.200000
"rye"	-1.600010	-3.100010	-4.600010	-4.899990	-9.200000	-7.800000	-6.500000	-16.700000	-11.800000	-12.500000	15.900000	11.200000
"rye"	1.399990	-4.100010	-2.600010	-5.899990	-9.200000	-7.800000	-7.500000	-18.700000	-15.800000	-12.500000	21.900000	11.200000
"rye"	3.399990	-3.100010	-2.600010	-4.899990	-10.200000	-6.800000	-4.500000	-15.700000	-13.800000	-9.500000	19.900000	13.200000
"rye"	0.399994	-5.100010	-2.600010	-7.899990	-11.200000	-12.800000	-10.500000	-19.700000	-18.800000	-16.500000	16.900000	9.200000
"rye"	-0.600010	-2.100010	-4.600010	-5.899990	-11.200000	-5.800000	-8.500000	-19.700000	-16.800000	-13.500000	16.900000	14.200000
"rye"	1.399990	-1.100010	-2.600010	-4.899990	-8.200000	-6.800000	-7.500000	-16.700000	-11.800000	-9.500000	17.900000	13.200000
"rye"	0.399994	-2.100010	-3.600010	-6.899990	-12.200000	-8.800000	-7.500000	-21.700000	-18.800000	-14.500000	18.900000	14.200000
"rye"	-1.600010	-3.100010	-4.600010	-5.899990	-15.200000	-8.800000	-8.500000	-18.700000	-15.800000	-12.500000	14.900000	9.200000
"rye"	0.399994	-1.100010	-2.600010	-2.899990	-11.200000	-5.800000	-6.500000	-13.700000	-11.800000	-11.500000	18.900000	14.200000
"rye"	-3.600010	-4.100010	-5.600010	-5.899990	-10.200000	-10.800000	-8.500000	-17.700000	-16.800000	-13.500000	18.900000	12.200000
"rye"	-0.600010	-4.100010	-4.600010	-4.899990	-11.200000	-7.800000	-7.500000	-16.700000	-10.800000	-9.500000	19.900000	13.200000
"rye"	-1.600010	-2.100010	-4.600010	-2.899990	-7.200000	-9.800000	-8.500000	-13.700000	-12.800000	-9.500000	13.900000	12.200000
"rye"	0.399994	-1.100010	-2.600010	-4.899990	-10.200000	-8.800000	-6.500000	-18.700000	-15.800000	-12.500000	18.900000	9.200000
"rye"	-1.600010	-4.100010	-3.600010	-5.899990	-10.200000	-7.800000	-8.500000	-16.700000	-13.800000	-11.500000	15.900000	12.200000
"rye"	0.399994	-2.100010	-1.600010	-2.899990	-8.200000	-6.800000	-5.500000	-13.700000	-13.800000	-9.500000	22.900000	16.200000
"rye"	-1.600010	-5.100010	-7.600010	-4.899990	-10.200000	-8.800000	-10.500000	-22.700000	-16.800000	-14.500000	17.900000	11.200000
"rye"	-2.600010	-2.100010	-4.600010	-5.899990	-9.200000	-6.800000	-7.500000	-14.700000	-13.800000	-10.500000	14.900000	13.200000
"rye"	-1.600010	0.899994	-3.600010	-4.899990	-10.200000	-7.800000	-6.500000	-16.700000	-11.800000	-8.500000	19.900000	13.200000
"rye"	0.399994	-7.100010	-2.600010	-5.899990	-12.200000	-9.800000	-7.500000	-18.700000	-16.800000	-14.500000	14.900000	9.200000
"rye"	0.399994	-2.100010	-1.600010	-5.899990	-7.200000	-5.800000	-5.500000	-14.700000	-12.800000	-8.500000	17.900000	12.200000
"rye"	-2.600010	-6.100010	-6.600010	-4.899990	-14.200000	-10.800000	-9.500000	-22.700000	-19.800000	-16.500000	20.900000	14.200000
"rye"	-0.600010	-4.100010	-4.600010	-5.899990	-12.200000	-8.800000	-8.500000	-16.700000	-14.800000	-12.500000	16.900000	13.200000
"rye"	0.399994	-4.100010	-2.600010	-4.899990	-10.200000	-8.800000	-7.500000	-15.700000	-13.800000	-7.500000	17.900000	12.200000
"rye"	2.399990	-6.100010	-3.600010	-4.899990	-10.200000	-7.800000	-6.500000	-19.700000	-18.800000	-14.500000	23.900000	14.200000
"rye"	1.399990	-0.100010	-1.600010	-1.899990	-8.200000	-4.800000	-4.500000	-10.700000	-7.800000	-4.500000	23.900000	12.200000
"rye"	-0.600010	-2.100010	-1.600010	-4.899990	-9.200000	-5.800000	-5.500000	-14.700000	-11.800000	-10.500000	22.900000	11.200000
"rye"	-3.600010	-1.100010	-5.600010	-5.899990	-13.200000	-8.800000	-7.500000	-18.700000	-16.800000	-13.500000	22.900000	13.200000
"rye"	2.399990	-0.100010	-4.600010	-3.899990	-7.200000	-6.800000	-8.500000	-11.700000	-13.800000	-12.500000	17.900000	12.200000
"rye"	-3.600010	-3.100010	-7.600010	-4.899990	-11.200000	-8.800000	-8.500000	-18.700000	-14.800000	-11.500000	20.900000	12.200000
"soy"	-3.600010	-2.100010	0.399994	0.100006	-0.200000	4.200000	2.500000	4.300000	1.200000	7.500000	22.900000	17.200000
"soy"	-3.600010	-1.100010	0.399994	-0.899990	1.800000	2.200000	1.500000	4.300000	3.200000	7.500000	21.900000	14.200000
"soy"	-2.600010	-0.100010	-1.600010	1.100010	1.800000	2.200000	2.500000	3.300000	2.200000	7.500000	18.900000	16.200000
"soy"	-2.600010	-2.100010	-0.600010	0.100006	1.800000	3.200000	2.500000	5.300000	2.200000	6.500000	19.900000	13.200000
"soy"	-2.600010	-0.100010	-0.600010	0.100006	3.800000	3.200000	1.500000	3.300000	2.200000	4.500000	23.900000	12.200000
"soy"	-10.600000	-6.100010	-5.600010	-6.899990	-8.200000	-5.800000	-4.500000	-4.700000	-3.800000	-1.500000	9.899990	14.200000
"soy"	-11.600000	-8.100010	-5.600010	-5.899990	-9.200000	-4.800000	-1.500000	-1.700000	1.200000	2.500000	10.900000	12.200000
"soy"	-10.600000	-6.100010	-4.600010	-4.899990	-9.200000	-4.800000	-1.500000	-2.700000	-2.800000	2.500000	23.900000	13.200000
"soy"	-9.600010	-10.100000	-4.600010	-3.899990	-8.200000	-3.800000	-3.500000	-1.700000	-3.800000	1.500000	15.900000	11.200000
"soy"	-9.600010	-9.100010	-4.600010	-2.899990	-6.200000	-3.800000	-3.500000	-2.700000	-4.800000	2.500000	14.900000	13.200000
"soy"	-10.600000	-6.100010	-5.600010	-4.899990	-5.200000	-4.800000	-0.500000	-4.700000	-0.800000	2.500000	16.900000	13.200000
"soy"	-7.600010	-8.100010	-3.600010	-4.899990	-6.200000	-4.800000	-1.500000	-2.700000	-2.800000	2.500000	21.900000	13.200000
"soy"	-11.600000	-7.100010	-6.600010	-3.899990	-8.200000	-3.800000	-2.500000	-3.700000	-1.800000	2.500000	19.900000	13.200000
"soy"	-6.600010	-8.100010	-5.600010	-4.899990	-6.200000	-2.800000	-1.500000	-2.700000	-0.800000	3.500000	13.900000	20.200000
"soy"	-6.600010	-7.100010	-1.600010	-3.899990	-4.200000	-1.800000	0.500000	-0.700000	-0.800000	5.500000	17.900000	12.200000
"soy"	-9.600010	-7.100010	-5.600010	-3.899990	-8.200000	-2.800000	-1.500000	-2.700000	-0.800000	2.500000	19.900000	11.200000
"soy"	-8.600010	-6.100010	-6.600010	-1.899990	-7.200000	-3.800000	-2.500000	-0.700000	-1.800000	2.500000	17.900000	14.200000
"soy"	-10.600000	-7.100010	-4.600010	-5.899990	-8.200000	-4.800000	-1.500000	-1.700000	-2.800000	3.500000	19.900000	8.200000
"soy"	-8.600010	-7.100010	-3.600010	-3.899990	-6.200000	-2.800000	0.500000	-1.700000	-1.800000	4.500000	18.900000	16.200000
"soy"	-7.600010	-5.100010	-4.600010	-2.899990	-5.200000	-1.800000	-0.500000	-0.700000	-0.800000	3.500000	18.900000	15.200000
"soy"	-8.600010	-5.100010	-4.600010	-3.899990	-5.200000	-2.800000	-1.500000	1.300000	0.199997	2.500000	18.900000	13.200000
"soy"	-7.600010	-6.100010	-2.600010	-2.899990	-5.200000	-2.800000	-1.500000	-0.700000	0.199997	2.500000	19.900000	17.200000
"soy"	-8.600010	-2.100010	-0.600010	-3.899990	-2.200000	-1.800000	0.500000	0.300003	2.200000	5.500000	22.900000	12.200000
"soy"	-9.600010	-5.100010	-5.600010	-2.899990	-6.200000	-1.800000	-0.500000	-1.700000	-0.800000	3.500000	19.900000	12.200000
"soy"	-7.600010	-6.100010	-3.600010	-2.899990	-4.200000	-2.800000	-0.500000	0.300003	-0.800000	3.500000	19.900000	14.200000
"soy"	-5.600010	-8.100010	-2.600010	-2.899990	-4.200000	0.199997	1.500000	1.300000	2.200000	7.500000	21.900000	16.200000
"soy"	-5.600010	-5.100010	-0.600010	-2.899990	-4.200000	-1.800000	1.500000	1.300000	0.199997	7.500000	23.900000	15.200000
"soy"	-7.600010	-5.100010	-4.600010	-3.899990	-4.200000	-2.800000	-0.500000	1.300000	1.200000	6.500000	19.900000	13.200000
"soy"	-9.600010	-7.100010	-3.600010	-4.899990	-3.200000	-1.800000	0.500000	-0.700000	0.199997	4.500000	24.900000	17.200000
"soy"	-6.600010	-4.100010	-2.600010	-1.899990	-5.200000	-1.800000	-0.500000	2.300000	3.200000	8.500000	21.900000	13.200000
"soy"	-7.600010	-6.100010	-1.600010	0.100006	-2.200000	-0.800000	1.500000	1.300000	3.200000	8.500000	16.900000	16.200000
"soy"	-4.600010	-4.100010	-1.600010	-0.899990	-3.200000	-1.800000	0.500000	4.300000	2.200000	6.500000	16.900000	14.200000
"soy"	-5.600010	-5.100010	-2.600010	-2.899990	-4.200000	-1.800000	0.500000	2.300000	5.200000	8.500000	20.900000	12.200000
"soy"	-7.600010	-5.100010	-2.600010	-2.899990	-4.200000	-1.800000	-0.500000	-0.700000	-1.800000	4.500000	19.900000	13.200000
"soy"	-4.600010	-3.100010	-1.600010	-2.899990	-3.200000	-0.800000	2.500000	4.300000	5.200000	10.500000	7.899990	14.200000
"soy"	-6.600010	-6.100010	-3.600010	-2.899990	-5.200000	-0.800000	-0.500000	-0.700000	-0.800000	3.500000	21.900000	18.200000
"soy"	-5.600010	-4.100010	0.399994	0.100006	-3.200000	1.200000	0.500000	10.300000	4.200000	10.500000	17.900000	11.200000
"soy"	-5.600010	-6.100010	-2.600010	-3.899990	-7.200000	-1.800000	-1.500000	-2.700000	-1.800000	4.500000	20.900000	16.200000
"soy"	-5.600010	-4.100010	-3.600010	-2.899990	-1.200000	-0.800000	-2.500000	5.300000	3.200000	8.500000	20.900000	14.200000
"soy"	-7.600010	-6.100010	-2.600010	-1.899990	-4.200000	-0.800000	0.500000	2.300000	5.200000	7.500000	17.900000	12.200000
"soy"	-5.600010	-4.100010	-1.600010	-2.899990	-1.200000	-0.800000	0.500000	3.300000	3.200000	7.500000	18.900000	13.200000
"soy"	-7.600010	-4.100010	-3.600010	-1.899990	-3.200000	-1.800000	-1.500000	2.300000	1.200000	6.500000	19.900000	18.200000
"soy"	-6.600010	-7.100010	-2.600010	-2.899990	-3.200000	-1.800000	-1.500000	0.300003	1.200000	6.500000	16.900000	13.200000
"soy"	-8.600010	-9.100010	-5.600010	-4.899990	-9.200000	-2.800000	-1.500000	-4.700000	-5.800000	-1.500000	26.900000	22.200000
"soy"	-8.600010	-8.100010	-4.600010	-6.899990	-8.200000	-1.800000	-1.500000	-5.700000	-7.800000	-1.500000	33.900000	24.200000
"soy"	-8.600010	-9.100010	-6.600010	-3.899990	-6.200000	-2.800000	-2.500000	-6.700000	-8.800000	-1.500000	25.900000	19.200000
"soy"	-7.600010	-10.100000	-3.600010	-3.899990	-3.200000	-3.800000	-2.500000	-7.700000	-7.800000	-1.500000	23.900000	21.200000
"soy"	-10.600000	-8.100010	-3.600010	-5.899990	-6.200000	-2.800000	-1.500000	-4.700000	-5.800000	1.500000	30.900000	19.200000
"soy"	-5.600010	-7.100010	-3.600010	-5.899990	-8.200000	-2.800000	-1.500000	-6.700000	-8.800000	-1.500000	29.900000	19.200000
"soy"	-7.600010	-9.100010	-2.600010	-5.899990	-7.200000	-2.800000	-1.500000	-5.700000	-5.800000	-0.500000	27.900000	17.200000
"soy"	-8.600010	-6.100010	-7.600010	-3.899990	-6.200000	-2.800000	-1.500000	-2.700000	-3.800000	1.500000	23.900000	17.200000
"soy"	-9.600010	-7.100010	-7.600010	-5.899990	-6.200000	-5.800000	-3.500000	-6.700000	-7.800000	-2.500000	26.900000	14.200000
"soy"	-7.600010	-7.100010	-5.600010	-4.899990	-5.200000	-1.800000	-2.500000	-6.700000	-7.800000	-1.500000	28.900000	21.200000
"soy"	-7.600010	-5.100010	-3.600010	-3.899990	-5.200000	-1.800000	-1.500000	-1.700000	-1.800000	2.500000	24.900000	19.200000
"soy"	-5.600010	-8.100010	-3.600010	-3.899990	-8.200000	-2.800000	-1.500000	-5.700000	-5.800000	1.500000	29.900000	20.200000
"soy"	-8.600010	-8.100010	-4.600010	-2.899990	-9.200000	-3.800000	-1.500000	-6.700000	-6.800000	-2.500000	29.900000	17.200000
"soy"	-4.600010	-6.100010	-2.600010	-1.899990	-2.200000	2.200000	2.500000	2.300000	3.200000	6.500000	27.900000	20.200000
"soy"	-4.600010	-5.100010	-1.600010	-1.899990	-6.200000	-0.800000	1.500000	-0.700000	-1.800000	3.500000	20.900000	22.200000
"soy"	-12.600000	-11.100000	-8.600010	-5.899990	-9.200000	-6.800000	-5.500000	-11.700000	-9.800000	-2.500000	17.900000	15.200000
"soy"	-9.600010	-7.100010	-5.600010	-3.899990	-5.200000	-3.800000	-1.500000	-1.700000	-2.800000	0.500000	20.900000	12.200000
"soy"	-4.600010	-4.100010	-2.600010	-0.899990	-1.200000	1.200000	1.500000	1.300000	1.200000	6.500000	23.900000	15.200000
"wheat"	8.399990	3.899990	1.399990	-0.899990	-0.200000	5.200000	-0.500000	-10.700000	-15.800000	-10.500000	33.900000	18.200000
"wheat"	8.399990	3.899990	1.399990	-0.899990	-0.200000	5.200000	-0.500000	-8.700000	-14.800000	-11.500000	37.900000	22.200000
"wheat"	5.399990	2.899990	1.399990	-0.899990	-0.200000	5.200000	-0.500000	-7.700000	-14.800000	-8.500000	31.900000	21.200000
"wheat"	7.399990	4.899990	1.399990	-1.899990	3.800000	3.200000	-1.500000	-13.700000	-17.800000	-14.500000	33.900000	17.200000
"wheat"	8.399990	7.899990	3.399990	0.100006	0.800003	6.200000	0.500000	-11.700000	-13.800000	-11.500000	26.900000	19.200000
"wheat"	7.399990	5.899990	2.399990	-0.899990	3.800000	5.200000	-0.500000	-10.700000	-17.800000	-13.500000	29.900000	20.200000
"wheat"	9.399990	4.899990	2.399990	0.100006	2.800000	5.200000	1.500000	-10.700000	-16.800000	-12.500000	25.900000	21.200000
"wheat"	6.399990	3.899990	0.399994	-1.899990	-0.200000	5.200000	-0.500000	-9.700000	-15.800000	-13.500000	31.900000	18.200000
"wheat"	8.399990	5.899990	3.399990	0.100006	2.800000	4.200000	1.500000	-11.700000	-16.800000	-12.500000	36.900000	21.200000
"wheat"	10.400000	3.899990	1.399990	-1.899990	-2.200000	1.200000	0.500000	-13.700000	-18.800000	-14.500000	31.900000	15.200000
"wheat"	6.399990	4.899990	-0.600010	-1.899990	0.800003	3.200000	-1.500000	-11.700000	-17.800000	-15.500000	28.900000	17.200000
"wheat"	6.399990	2.899990	-1.600010	-2.899990	-1.200000	4.200000	-2.500000	-13.700000	-17.800000	-14.500000	30.900000	20.200000
"wheat"	9.399990	5.899990	2.399990	0.100006	1.800000	7.200000	2.500000	-8.700000	-12.800000	-9.500000	34.900000	20.200000
"wheat"	9.399990	3.899990	2.399990	-0.899990	-1.200000	4.200000	0.500000	-13.700000	-18.800000	-13.500000	24.900000	21.200000
"wheat"	6.399990	4.899990	0.399994	-1.899990	0.800003	4.200000	-2.500000	-9.700000	-18.800000	-14.500000	25.900000	18.200000
"wheat"	8.399990	2.899990	-1.600010	-0.899990	0.800003	2.200000	-1.500000	-11.700000	-16.800000	-16.500000	28.900000	19.200000
"wheat"	6.399990	2.899990	-0.600010	-0.899990	-0.200000	4.200000	-0.500000	-14.700000	-18.800000	-16.500000	28.900000	14.200000
"wheat"	4.399990	-0.100010	-1.600010	-0.899990	-2.200000	3.200000	-0.500000	-12.700000	-18.800000	-13.500000	28.900000	19.200000
"wheat"	4.399990	-0.100010	-1.600010	-1.899990	0.800003	2.200000	-1.500000	-12.700000	-17.800000	-13.500000	26.900000	20.200000
"wheat"	6.399990	3.899990	-1.600010	-0.899990	-1.200000	2.200000	-1.500000	-15.700000	-19.800000	-15.500000	29.900000	20.200000
"wheat"	4.399990	2.899990	-1.600010	-0.899990	-1.200000	3.200000	-1.500000	-11.700000	-15.800000	-16.500000	20.900000	12.200000
"wheat"	2.399990	1.899990	0.399994	-0.899990	-4.200000	1.200000	-1.500000	-13.700000	-18.800000	-18.500000	25.900000	12.200000
"wheat"	5.399990	3.899990	0.399994	-2.899990	-1.200000	1.200000	-3.500000	-16.700000	-19.800000	-20.500000	22.900000	10.200000
"wheat"	4.399990	1.899990	-0.600010	-1.899990	1.800000	2.200000	-2.500000	-14.700000	-17.800000	-16.500000	19.900000	7.200000
"wheat"	5.399990	2.899990	-0.600010	-2.899990	0.800003	1.200000	-1.500000	-12.700000	-20.800000	-17.500000	21.900000	6.200000
"wheat"	2.399990	-1.100010	-0.600010	-1.899990	-2.200000	0.199997	-2.500000	-14.700000	-18.800000	-20.500000	26.900000	11.200000
"wheat"	4.399990	0.899994	0.399994	0.100006	-2.200000	2.200000	-0.500000	-12.700000	-17.800000	-15.500000	21.900000	9.200000
"wheat"	2.399990	-1.100010	-0.600010	-0.899990	-3.200000	0.199997	-2.500000	-13.700000	-16.800000	-14.500000	14.900000	13.200000
